word,cefr
am,A1
amaze,B2
amazed,B1
amazement,B2
amazing,B1
amazingly,B2
ambassador,B2
ambiguity,B2
ambiguous,B2
ambition,A2
ambitious,B1
ambulance,B1
ammonia,B2
among,A2
amongst,B2
amount,B1
ample,B2
amplifier,B2
amplify,B2
amuse,B2
amused,A2
amusement,A2
amusing,B1
an,A1
analogy,B2
analysis,B1
analyst,B2
analyze/analyse,B1
ancestor,A2
anchor,B2
anchorage,B2
anchorman,B2
anchorperson,B2
ancient,A2
and,A1
angel,A2
anger,B1
angle,B1
angrily,A2
angry,A1
anguish,B2
animal,A1
animate,B2
animated,B1
animation,B1
ankle,A2
anniversary,A2
announce,B1
announcement,B1
annoy,A2
annoyance,B1
annoyed,B1
annoying,A2
annual,B1
annually,B1
anonymous,B2
another,A1
another,A2
answer,A1
answer,A1
ant,B1
anti,B1
antiaircraft,B2
antibacterial,B2
anticancer,B2
anticipate,B2
anticipation,B2
antipollution,B2
antique,B2
antique,B1
antistatic,B2
antivirus,B2
antonym,B1
anxiety,B1
anxious,A2
anxiously,B1
any,A1
any,A1
anybody,A1
anyhow,B1
anymore,A2
anyone,A1
anything,A1
anyway,A2
anywhere,A2
apart,A2
apartment,A2
ape,B1
apologize/apologise,A2
apology,B1
apostrophe,B2
apparent,B1
apparently,A2
appeal,B1
appeal,B2
appear,A2
appearance,A2
appetite,B1
applaud,B1
applause,B1
apple,A1
applicant,B2
application,B1
apply,A2
appoint,B1
appointment,A2
appreciate,A2
appreciation,B1
appreciative,B2
approach,B1
approach,B2
appropriate,A2
appropriately,B2
approval,B1
approve,B1
approximate,B2
approximately,B1
April,A1
apron,A1
arch,B2
archaeologist/archeologist,B2
architect,B1
architecture,A2
arctic,B2
are,A1
area,A2
arena,B2
argue,A2
argument,A2
arise,B1
aristocracy,B2
arithmetic,B1
arm,A1
arm,B1
armchair,A2
armed,A2
armful,B2
army,B1
around,A2
around,A1
arouse,B2
arrange,B1
arrangement,B1
arrest,B1
arrest,B1
arrival,B1
arrive,A1
arrogant,B2
arrow,B1
art,A1
artery,B2
article,A1
articulate,B2
artificial,A2
artificially,B2
artist,B1
artistic,B1
artistry,B2
as,A2
as,A1
ash,B2
ashamed,B1
aside,B1
ask,A1
asleep,A2
aspect,B1
aspiration,B2
aspire,B2
aspirin,B1
assault,B2
assemble,B2
assembly,B2
assert,B2
assess,B2
assessment,B2
assign,B1
assignment,B1
assist,B1
assistance,B1
assistant,A2
assistant,B1
associate,B1
association,A2
assume,B1
assumption,B2
assurance,B2
assure,B2
astonish,B2
astonished,B2
astonishing,B2
astonishment,B2
astronaut,A2
astronomer,B1
astronomy,B2
at,A1
athlete,A2
athletic,B1
athletics,B2
Atlantic,B1
atmosphere,B1
atom,A2
atomic,B1
attach,B1
attached,B2
attachment,B1
attack,A2
attack,A2
attain,B1
attainable,B2
attainment,B2
attempt,A2
attempt,B1
attend,B1
attendance,B2
attention,A2
attentive,B2
attentively,B2
attitude,A2
attract,B1
attraction,B1
attractive,A2
attractiveness,B2
attribute,B2
attribute,B2
atypical,B2
aubergine,B2
audience,A2
audio,A2
audit,B2
audition,B2
August,A1
aunt,A1
author,A2
authoritative,B2
authority,B1
authorize/authorise,B2
automatic,A2
automatically,A2
autumn,A1
auxiliary,B1
availability,B2
available,B1
avenue,B1
average,A2
average,A2
avoid,A2
await,B2
awake,A1
award,A2
award,B1
aware,B1
awareness,B1
away,A1
awe,B2
awesome,B1
awful,A2
awkward,B1
ax/axe,B2
axis,B2
baby,A1
babysit,B1
babysitter,B1
back,A2
back,A1
back,A1
back,B1
backache,B1
background,A2
backpack,B1
backpacker,B1
backpacking,B1
backup,B2
backward/backwards,B2
backyard,B2
bacon,B1
bad,A1
badge,B2
badly,A2
badminton,A2
bad-tempered,B2
bag,A1
baggage,B1
bake,A2
baker,B1
bakery,B1
balance,B1
balance,B2
balanced,B2
balcony,A2
bald,B1
balky,B2
ball,A1
ballad,B2
ballet,B2
balloon,A2
ballot,B2
ban,B2
ban,B2
banana,A1
band,A1
bandage,B1
bang,B1
bang,B1
bank,A1
bank,A2
bank account,B1
banker,B2
banking,A2
bankrupt,B2
bankruptcy,B2
bar,A1
bar,B1
barbecue,A2
barbecue,B1
barber,A2
barbershop,B2
bare,B1
bare,B2
barely,B1
bargain,A2
bargain,B2
bark,B1
bark,B2
barley,B2
barman,B1
barn,B2
barometer,B2
barrel,B1
barren,B2
barrier,B2
bartender,B2
base,A2
base,B1
baseball,A1
basement,B1
basic,A2
basically,A2
basin,B1
basis,B1
basket,A2
basketball,A1
bat,A1
bat,B1
batch,A2
bath,A1
bathe,B1
bathhouse,B2
bathroom,A1
battery,A2
battle,B1
battlefield,B2
bay,A2
be,A1
beach,A1
beagle,B2
beak,B2
beam,B2
bean,A1
bear,A1
bear,A2
beard,B1
bearing,B2
beast,B1
beat,B2
beat,B1
beautiful,A1
beautifully,B1
beautify,B2
beauty,A2
beaver,B1
because,A1
because of,B1
become,A1
bed,A1
bedroom,A1
bedside,B1
bee,A1
beef,A1
been,A2
beer,A2
before,A1
before,A2
before,A1
beg,A2
begin,A1
beginner,A2
beginning,A2
behalf,B1
behave,B1
behavior/behaviour,A2
behind,A1
behind,A1
being,A2
belief,B1
believe,A1
bell,A1
bellow,B2
belly,A2
belong,A2
belongings,B2
beloved,B1
below,A1
below,A1
belt,A2
bench,A2
bend,B2
bend,A2
beneath,B1
beneficial,B2
benefit,B1
benefit,B2
benevolence,B2
benevolent,B2
bent,B1
berry,B2
beside,A1
besides,A2
besides,B1
best,A1
best,A1
bestow,B2
bestseller,B2
bet,B1
betray,B2
better,A1
better,A2
between,A1
bewilder,B2
bewilderment,B2
beyond,A2
bicycle,A1
bid,B2
bidding,B2
big,A1
bike,A1
bikini,B2
bilingual,B1
bill,A2
bill,B1
billion,B2
bin,B1
bind,B2
bio,B2
biochemistry,B1
biography,B1
biological,B2
biology,B1
biotechnology,B2
bird,A1
birdcage,B2
birth,A1
birthday,A1
birthplace,B2
biscuit,A1
bishop,B1
bit,A2
bite,A2
bite,B1
bitter,B1
bitterly,B2
bizarre,B2
black,A1
black,A1
blackboard,A2
blade,B2
blame,B1
blame,A2
blank,A1
blanket,A2
blast,B2
blast,B2
blaze,B2
blaze,B2
bleed,B1
blend,B2
blend,B1
bless,B1
blessing,B1
blind,B1
blindly,B2
blindness,B2
blink,B2
block,A1
block,B1
blog,B1
blogger,B1
blonde,A2
blood,A2
bloodstream,B2
bloody,B2
bloody,B2
bloom,A2
blooming,B2
blossom,B2
blow,A2
blow,A1
blue,A1
blue,A1
blur,B2
blurt,B2
blush,B1
blush,B2
board,A1
board,B1
board game,A2
boast,B1
boat,A1
body,A1
boil,A2
boiled,A2
boiling,B2
bold,B1
bold,B2
boldly,B1
bolt,B2
bolt,B2
bomb,B1
bomb,B1
bombard,B2
bomber,B2
bombing,B2
bond,B1
bone,A1
bonus,A2
bony,B2
book,A1
book,B1
bookcase,A2
booking,B1
bookish,B2
booklet,B2
bookmark,B2
bookmark,B2
bookshelf,A2
bookshop,A2
bookstore,A1
boom,B1
boost,B2
boost,B2
boot,B1
booth,B2
border,B1
bore,B1
bored,A2
boredom,B1
boring,A1
borrow,A1
boss,A2
bossy,B2
botany,B2
both,A1
both,A1
both,A1
bother,B1
bother,A2
bothered,B2
bothersome,B2
bottle,A1
bottle,B2
bottom,A1
bounce,B2
bounce,B1
bound,B1
bourbon,B2
bow,B1
bow,B2
bowl,A1
bowl,B1
box,A1
boxer,B2
boxing,B1
boy,A1
boyfriend,A1
bra,A2
bracelet,B1
bracket,B2
brag,B2
brain,A1
brainstorm,A2
brainstorming,B1
brake,A2
brake,B2
branch,A2
branch,B1
brand,A2
brand-new,B1
brass,B1
brave,A2
bravely,B1
bravery,B2
bread,A1
break,A2
break,A1
breakable,B2
breakdown,B2
breakfast,A1
breakthrough,B1
breakup,B2
breast,B1
breath,B1
breathe,A1
breathless,B1
breathtaking,B2
breed,B2
breed,B1
breeding,B1
breeze,A2
breezy,B2
brewery,B2
brick,B1
bride,A2
bridge,A1
brief,B1
briefly,B1
bright,A1
brightly,B1
brilliant,A2
brilliantly,B2
bring,A1
broad,B1
broadband,B2
broadcast,B1
broadcast,B2
broadcaster,B2
broaden,B2
broadly,B2
broccoli,B1
brochure,B2
broken,A1
bronze,B1
brother,A1
brotherhood,B1
brother-in-law,B2
brown,A1
brown,A2
browse,B2
browser,B2
bruise,B2
brush,A1
brush,A1
bubble,B1
bucket,A1
bud,B2
buddy,B1
budget,B2
budget,A2
bug,A2
build,A1
builder,B1
building,A1
bulb,A2
bulimia,B2
bull,B1
bullet,B1
bulletin,B1
bully,B2
bum,B2
bump,B1
bumper,B2
bun,B2
bunch,B1
burden,B1
burden,B2
burdensome,B2
bureau,B1
bureaucracy,B2
burger,A1
burglar,B1
burglary,B2
burgle,B2
burial,B2
burn,A2
burn,B1
burning,B1
burst,B1
bury,A2
bus,A1
bus station,A2
bus stop,A2
bush,A2
business,A1
businessman,A2
businesswoman,A2
bust,B1
bustle,B2
bustling,B2
busy,A1
but,A1
but,B1
butcher,B1
butcher,B2
butter,A1
butterfly,A1
button,A1
buy,A1
buyer,B1
buzz,B2
buzz,B2
by,A1
bye,A1
cab,A2
cabbage,B1
cabin,B1
cabinet,B2
cable,B2
cafe/café,A1
cafeteria,A2
cage,B1
cake,A1
calculate,B1
calculation,B1
calculator,B1
calendar,A2
calf,B1
call,A1
call,A2
caller,B1
calm,B1
calmly,B2
calmness,B1
camel,B1
camera,A1
camp,A1
camp,A2
campaign,B2
camping,A2
campsite,B1
campus,A2
can,A1
can,A2
canal,B1
cancel,B1
cancer,B1
candidate,B2
candle,B1
candy,A1
cane,B2
canned,B1
cannonball,B2
canon,B2
canteen,B1
cap,A1
capability,B2
capable,B1
capacity,B1
capital,A2
capital letter,A2
capsule,B1
captain,A2
caption,B2
captive,B2
capture,B1
capture,B1
car,A1
car park,A2
caravan,B2
carbon,B2
carbon dioxide,B2
carbon footprint,B2
carbon monoxide,B2
card,A1
cardboard,B2
cardigan,B2
care,A1
care,B1
career,B1
carefree,B2
careful,A1
carefully,A1
careless,B1
carelessly,B1
carelessness,B1
caring,B2
carnival,B2
carpet,B1
carpool,B2
carriage,B1
carrot,A2
carry,A1
carton,B1
cartoon,A1
carve,B2
cascade,B2
case,A1
cash,A2
cashpoint,B1
cassette,A2
cast,B2
cast,B2
castle,A2
casual,B1
casually,B2
cat,A1
catalog/catalogue,B2
catalyst,B2
catastrophe,B2
catastrophic,B2
catch,A1
catch,A1
catchy,B2
categorization/categorisation,B2
categorize/categorise,B1
category,B1
catering,B2
cathedral,B2
cattle,B1
cause,B2
cause,A2
caution,B1
cautious,B1
cave,B1
CD,A1
CD player,A1
CD-ROM,B1
cease,B2
ceiling,B2
celebrate,A1
celebration,A1
celebrity,B1
cell,B1
cellar,B2
cellist,B2
cello,B2
cemetery,B2
cent,A2
center/centre,A2
centigrade,B2
centimeter/centimetre,A2
central,B1
central heating,B1
century,A2
cereal,A2
ceremony,B1
certain,A2
certainly,A2
certainty,B1
certificate,B2
certification,B2
certify,B2
chain,A2
chair,A1
chairman,A2
challenge,A2
challenge,B2
challenging,B1
champagne,A2
champion,B1
championship,A2
chance,A2
chancellor,B2
change,A1
change,A1
channel,B1
chaos,B1
chaotic,B2
chapter,A2
character,A1
characteristic,B2
characteristic,B1
characterize/characterise,B1
charge,B1
charge,B1
chariot,B1
charity,B1
charm,B1
charming,B2
chart,A2
chase,B1
chase,B2
chat,B1
chat,A2
chat show,B1
cheap,A2
cheat,B2
check,A1
check,A2
check-in counter/check-in,B1
check-in desk/check-in,B1
checkout,B1
checkpoint,B2
cheek,A2
cheeky,B2
cheer,A2
cheerful,B1
cheerfully,B2
cheerfulness,B2
cheese,A1
chef,A2
chemical,A2
chemical,B1
chemist,B1
chemistry,B1
chemotherapy,B2
cheque,A2
cherish,B1
cherished,B2
cherry,B2
chess,A2
chest,A2
chest of drawers,B1
chew,B2
chewing gum,B1
chicken,A1
chief,B1
chief,B2
child,A1
childhood,A2
childish,B2
chili/chilli,A2
chimney,B2
chimpanzee,A2
chin,A2
chip,B2
chirp,A2
chocolate,A1
choice,A2
choir,B1
choke,B1
choose,A1
chop,B2
Christian,B1
chronological,B1
chuckle,B1
chunk,B2
church,A1
cigarette,A2
cinema,A1
circle,A1
circle,B1
circuit,B2
circuitry,B2
circular,B1
circumstance,B2
circus,B1
citizen,A2
citizenship,B1
city,A1
citywide,B2
civil,B1
civilization/civilisation,B1
claim,B1
claim,A2
clam,B2
clap,B2
clarify,B2
class,A1
classic,A2
classic,B2
classical,B1
classical music,A2
classification,B2
classify,B1
classmate,A1
classroom,A1
clause,B2
clean,A1
clean,A1
cleaner,A2
clear,A2
clear,B1
clearly,A2
clearness,B2
clerical,B2
clerk,A2
clever,A1
click,B1
click,A2
client,B2
cliff,B1
climate,B1
climate change,B2
climb,A1
climb,A2
climber,B1
climbing,A2
clinic,B1
clip,B1
clock,A1
clog,B2
clone,A2
close,A1
close,A1
closed,A1
closely,B1
closure,B2
cloth,A1
clothes,A1
clothing,B2
cloud,A1
cloudy,A1
clown,A2
club,A1
clue,A2
clumsy,B2
coach,A1
coach,B2
coaching,B2
coal,B1
coalition,B2
coarse,B2
coast,A2
coast,B1
coastal,B1
coastline,B2
coat,A1
cocktail,B2
cocoa,B2
coconut,B2
cod,B1
code,A1
coffee,A1
coffin,B1
coherence,B2
coherent,B2
coin,A2
coincide,B2
coincidence,B2
coke,A1
cola,A2
cold,A1
cold,A1
collapse,B1
collapse,B2
collar,B1
colleague,B2
collect,A1
collection,A1
collector,B2
college,A1
collocation,B2
colon,B2
colonial,B2
color/colour,A1
color/colour,A1
colorful/colourful,A2
column,A2
columnist,B1
coma,B2
comb,A2
comb,B2
combination,B1
combine,B1
come,A1
comedian,B1
comedy,B1
comet,B1
comfort,B1
comfortable,A2
comfortably,B2
comic,A2
comic,A2
comma,B1
command,B1
commander,B2
commemorate,B2
comment,B1
comment,B2
commerce,B2
commercial,B1
commercial,B2
commission,B2
commit,B1
commitment,A2
committee,A2
common,A2
common sense,B1
commonly,B1
commonwealth,B2
communicate,A2
communication,A2
communicative,B2
community,B2
commute,B2
companion,B1
company,A2
comparative,A2
compare,A2
comparison,B1
compassion,B2
compassionate,B2
compatible,B2
compensate,B2
compensation,B2
compete,B1
competence,B2
competent,B2
competition,A2
competitive,B1
competitor,B1
compile,B2
complain,A2
complaint,A2
complement,B1
complete,A2
complete,B1
completely,B1
completion,B2
complex,B1
complexion,B2
complexity,B2
complicate,B1
complicated,B1
compliment,B1
component,B2
compose,B1
composer,A2
composition,B1
compound,B1
comprehension,B2
comprehensive,B2
compress,B2
compression,B2
compromise,B1
compromise,B2
compulsory,B2
compute,B2
computer,A1
conceal,B2
concede,B2
conceit,B2
conceivable,B2
conceive,B2
concentrate,A2
concentration,B1
concept,B1
conception,B2
concern,A2
concern,B2
concerned,B1
concerning,B2
concert,A1
concession,B2
conclude,B1
conclusion,B1
concrete,B2
concrete,B2
condemn,B2
condition,A2
conduct,B1
conduct,B2
conductor,B2
cone,B2
conference,B2
conferencing,B2
confess,B2
confession,B2
confidence,B1
confident,A2
confidently,B2
confine,B2
confirm,B1
confirmation,B1
conflict,B1
confront,B2
confuse,A2
confused,A2
confusing,B1
confusion,B1
congratulate,B1
conjunction,B2
connect,B1
connection/connexion,B1
conquer,B1
conquest,B2
conscience,B2
conscious,B1
consciousness,B2
consensus,B2
consent,B2
consequence,A2
consequently,B1
conservation,B1
conservative,B1
consider,A2
considerable,B1
considerably,B2
consideration,B1
considering,B2
considering,B2
consist,A2
consistent,B2
consolation,B2
console,B2
consonant,B1
constant,B2
constantly,B1
constitute,B1
constitution,B1
construct,B1
construction,B1
consult,B2
consultant,B2
consume,B1
consumer,B1
consumption,B1
contact,A2
contact,A2
contain,B1
container,A2
contaminate,B2
contemporary,B2
contempt,B2
content,B2
content,B1
contest,A1
context,A2
continent,A2
continual,B1
continually,B1
continue,A2
continuous,B1
continuously,B1
contract,B2
contradict,B2
contradiction,B2
contradictory,B2
contrary,B1
contrast,A2
contribute,B1
contribution,B1
control,A2
control,B1
controversial,B1
controversy,B2
convenience,A2
convenient,A2
conveniently,B2
convention,B2
conventional,B2
conversation,A1
converse,B2
conversely,B2
conversion,B2
convert,B2
convey,B1
convince,B1
convinced,B2
cook,A1
cook,A1
cooker,A2
cookie,A1
cooking,A2
cool,A1
cool,B2
cooler,A2
cooperate,B2
cooperation,B2
cooperative,B2
cop,A1
cope,B2
copper,B2
copy,A1
copy,A2
copyright,B1
coral,B2
core,B2
corn,A1
corner,A1
cornerstone,B2
cornet,B2
corona,B2
corporal,B2
corporate,B2
corporation,B2
correct,A1
correct,B2
correction,B1
correctly,A2
correctness,B2
correspond,B2
correspondence,B2
correspondent,B2
corresponding,B2
corridor,B2
corrupt,B2
corruption,B2
cost,A2
cost,A2
costly,B2
costume,B2
cottage,B2
cotton,B1
couch,A1
cough,B2
cough,B1
could,A1
council,B1
counseling/counselling,B1
count,B1
count,A2
counter,B2
counter,B1
countless,B1
country,A2
countryman,B2
countryside,A2
countrywide,B2
county,B1
couple,A2
courage,B1
courageous,B1
courgette,B1
course,A1
court,A2
courtesy,B2
cousin,A1
cover,A1
cover,A2
cow,A1
coward,B2
cowardly,B2
coziness/cosiness,B2
cozy/cosy,B2
crab,B2
crack,B2
crack,B2
craft,B1
craftsman,B2
crash,B1
crash,B1
crater,B2
crawl,B2
crazy,A2
cream,A2
cream,A1
crease,B2
create,A2
creation,B2
creative,A2
creatively,B2
creativity,A2
creator,B1
creature,A2
credit,A2
credit card,A1
creek,B2
creepy,B2
crew,B2
cricket,A2
crime,A2
criminal,B2
criminal,B1
cripple,B2
crisis,B1
crisp,A2
critic,B1
critical,B1
critically,B2
criticism,B2
criticize/criticise,A2
crocodile,B2
crop,B1
cross,A2
cross,A2
crossing,B1
crossly,B2
crossroads,B1
crow,B1
crowd,A2
crowded,A2
crown,A2
crucial,B2
cruel,B1
cruelly,B2
cruelty,B2
cruise,A2
cruise,B2
crush,B1
cry,A1
cry,A2
crystallize/crystallise,B2
cube,B2
cubism,B2
cucumber,B1
cuff,B2
culmination,B2
cultivate,B1
cultural,B1
culturally,B2
culture,A1
cup,A1
cupboard,A2
cure,B1
cure,B2
curiosity,B1
curious,B1
curiously,B1
curl,B2
curly,B1
currency,B1
current,B1
currently,B1
curriculum,B1
curry,A2
curse,A2
cursor,B2
curtain,B1
curve,B1
cushion,B1
custom,A2
customer,A2
customs,B1
cut,B1
cut,A1
cute,A1
CV,B1
cyberaddict,B2
cybercafe/cybercafé,B2
cybercrime,B2
cyberpet,B2
cyberschool,B2
cyberspace,B2
cycle,B1
cycle,B1
cycling,A2
cyclist,B2
dad,A1
daddy,A1
daft,B2
daily,A2
daily,A2
daisy,B1
dam,A2
damage,B1
damage,B1
damaged,B1
damn,B2
damn,B2
damn,B2
damp,B1
dance,A1
dance,A1
dancer,A2
dancing,A1
dandelion,B2
danger,A2
dangerous,A2
dangerously,B1
dare,B1
dark,A1
darkness,B1
darling,B2
darling,B2
dash,B2
dash,B2
data,B2
database,B2
date,A1
date,B1
dated,B2
dating,B1
daughter,A1
daughter-in-law,B2
dawn,B2
day,A1
daylight,A2
daytime,B2
daze,B1
dazzle,B1
de facto,B2
dead,A2
deadline,B1
deadly,B1
deaf,B1
deal,A2
deal,B1
dealer,B1
dear,A1
dear,B2
dearly,B2
death,A2
debate,A2
debit,B2
debit,B2
debit card,B2
debris,B1
debt,B1
decade,B2
decay,B2
deceive,B2
December,A1
decent,B2
deceptive,B2
decide,A2
decision,B1
decisive,B2
deck,B2
declaration,B1
declare,B1
decline,B1
decline,B2
decomposition,B2
decorate,B2
decoration,B2
decorative,B2
decrease,B1
decrease,B1
dedicate,B1
dedication,B2
deduce,B2
deduction,B2
deed,B1
deem,B2
deep,B2
deep,A2
deeply,A2
deer,B2
defeat,B2
defeat,B1
defend,B1
defender,B1
defense/defence,B1
deficiency,B1
deficit,B2
define,B1
definite,B1
definite article,B1
definitely,B1
definition,B1
deforestation,B2
defy,B2
degree,A2
dehumanize/dehumanise,B2
delay,A2
delay,B1
delegate,B2
delete,B1
deliberate,B2
deliberately,B2
delicacy,B2
delicate,B1
delicately,B2
delicious,A1
delight,B1
delight,B2
delighted,B1
delightful,B1
deliver,B1
delivery,B1
demand,B1
demand,B1
demanding,B2
democracy,B1
democratic,B1
demolish,B2
demonstrate,B1
demonstration,B1
denim,B2
dense,B2
densely,B2
dental,B2
dentist,A2
deny,B1
depart,B1
department,B1
department store,A2
departure,B1
depend,A2
dependable,B2
dependent,B1
deposit,B1
deposit,B2
depressed,B1
depressing,B1
depression,B1
deprive,B1
depth,B1
deputy,B2
derive,B1
descend,B2
describe,A1
description,A2
descriptive,B2
desert,A2
deserve,B1
design,A1
design,B1
designer,B2
designer,B1
desirable,B2
desire,B1
desire,B2
desk,A1
desktop,B2
desolation,B2
despair,B1
desperate,B1
desperately,B2
desperation,B2
despise,B2
despite,B1
dessert,A2
destination,B1
destiny,B2
destroy,A2
destruction,B1
destructive,B1
detach,B2
detachment,B2
detail,A2
detailed,B2
detect,B2
detective,B1
determination,B1
determine,B1
determined,B2
determiner,B2
devastate,B1
devastating,B1
develop,A2
developed,A2
developing,B2
development,B1
device,B1
devil,B2
devote,B2
devoted,B2
devotion,B1
diagram,B1
dial,B1
dial,B1
dialog/dialogue,B1
diameter,B1
diamond,A2
diaper,B1
diarrhea/diarrhoea,B2
diary,A2
dictator,B2
dictionary,A1
did,A1
die,A2
diet,A2
differ,B1
difference,A1
different,A1
differently,A2
difficult,A1
difficulty,A2
dig,A1
dig,B1
digest,B2
digital,B1
digital camera,A2
dignify,B2
dignity,B2
dilemma,B2
diligence,B1
diligent,B1
dim,B2
dime,B2
dimension,B2
dining room,A1
dinner,A1
dinosaur,A2
dioxide,B1
dip,B2
diphtheria,B2
diploma,B2
diplomat,B2
direct,A2
direct,B1
direction,A2
directly,B1
director,A2
dirt,B1
dirty,A1
disability,B1
disable,B1
disabled,B1
disadvantage,A2
disagree,A2
disagreement,B1
disappear,A2
disappearance,B2
disappoint,B1
disappointed,A2
disappointing,A2
disappointment,B1
disapproval,B2
disapprove,B2
disaster,B1
disastrous,B1
disc jockey/disk jockey,B1
discharge,B2
disciple,B2
discipline,B2
disco,A2
discomfort,B1
disconnect,B2
discount,B1
discourage,B1
discover,A2
discovery,B1
discredit,B2
discriminate,B2
discrimination,B1
discuss,A1
discussion,A2
disease,B1
disgrace,B2
disguise,B2
disguise,B2
disgusting,B1
dish,A1
dishonest,A2
dishonesty,B2
dishwasher,B1
disillusion,B2
disk/disc,B1
dislike,A2
dislike,B1
dismiss,B2
disorder,B2
disorderly,B2
disorganized/disorganised,B2
dispensable,B2
displace,B2
display,A2
display,B1
displeasure,B2
disposal,B2
disposition,B2
dispute,B2
disqualify,B2
disregard,B2
disrupt,B2
dissatisfaction,B2
dissatisfied,B2
dissident,B2
dissolve,B1
distance,B1
distant,B1
distinction,B1
distinctly,B1
distinguish,B1
distinguished,B2
distortion,B2
distract,B2
distraction,B2
distressing,B2
distribute,B1
distribution,B1
distributor,B2
district,B1
disturb,A2
disturbance,B1
dive,B1
dive,B1
diver,B1
diverse,B1
diversion,B2
divert,B2
divide,B1
divide,A2
divided,B2
divine,B1
diving,B1
division,B2
divorce,B2
divorce,B2
divorced,B1
dizzy,A2
DJ,B1
DNA,B2
do,A1
doc,B1
dock,B2
doctor/Dr./Dr,A1
document,B1
documentary,B1
does,A1
dog,A1
doing,A1
doll,A1
dollar,A1
dolphin,B1
domestic,B2
dominate,B2
donate,B2
donation,B2
done,A2
donkey,B2
doom,B2
door,A1
doorkeeper,B2
doorway,B2
dorm,B2
dormitory,B2
dose,B2
dot,B1
double,A2
double,B2
double,B2
doubly,B2
doubt,A2
doubt,B2
doubtful,B2
dove,B2
down,B2
down,A1
down,A2
downfall,B2
download,B2
download,A2
downsize,B2
downstairs,B1
downstairs,A2
downtown,A2
downward,B1
dowry,B2
doze,B1
dozen,B1
dozen,B1
draft/draught,B2
drag,B1
drain,B2
drain,B2
drama,A1
dramatic,B1
dramatically,B2
drapery,B2
draw,A2
draw,A1
drawer,A2
drawing,A2
dread,B2
dreadful,B2
dream,A1
dream,A2
dreamy,B2
dress,A1
dress,A2
dressed,A2
drill,A2
drink,A1
drink,A1
drinkable,B2
drive,A1
drive,A2
driver,A1
driver's license/driving licence,A2
droop,B2
drop,A2
drop,A1
dropout,B2
drought,B2
drown,B1
drug,A2
drugstore,A2
drum,A1
